	elu0	elu30	elu60	elu90	elu120	elu150	elu180	elu210	elu240	elu270	elu300	elu330	elu360	elu390
YDL229W	-0.55	-0.08	-0.11	0.3	-0.33	-0.08	-0.03	0.38	0.1	0.1	-0.28	0.14	0.31	0.13
YDL230W	-0.07	-0.05	-0.36	-0.15	0	-0.17	-0.08	0.02	0.34	0.17	-0.15	0.17	0.15	0.19
YDL231C	0.32	0	-0.1	0.18	0.15	-0.03	0.1	0.19	-0.12	0	-0.25	-0.1	-0.42	0.08
YDL232W	-0.25	-0.19	-0.19	-0.12	0	-0.03	0.02	0.21	0.18	0.17	-0.03	-0.02	0.03	0.23
YDL233W	1.09	-0.07	-0.21	-0.05	-0.03	-0.39	-0.43	-0.35	0.11	0.09	-0.23	0.2	0.22	0.05
YDL234C	1.51	-0.11	-0.16	-0.11	-0.34	-0.26	-0.24	0.01	-0.07	0.05	-0.3	-0.02	-0.13	0.17
YDL235C	0.45	0.17	0.01	0.03	0.06	0.01	-0.14	-0.15	-0.15	-0.03	0.23	-0.14	-0.23	-0.12
YDL236W	-0.47	-0.12	-0.23	-0.23	-0.05	-0.07	-0.14	0.42	0.2	0.36	0	0.12	0.16	0.04
YDL237W	0.7	0.23	-0.08	-0.33	-0.45	-0.56	-0.31	-0.07	0	0.07	0.03	0.38	0.3	0.12
YDL238C	0.72	-0.21	0.14	-0.08	-0.32	-0.21	-0.13	0.03	0.14	-0.01	-0.26	0.02	-0.24	0.42
YDL239C	0.09	-0.02	-0.06	0.21	0.25	-0.06	0.16	-0.43	0.31	0.21	0.11	-0.1	-0.57	-0.08
YDL240W	-0.27	-0.25	-0.35	-0.29	0	0.08	0	0.17	0.18	0.46	0.09	0.06	0	0.14
YDL241W	0.48	-0.02	0.15	-0.26	-0.08	-0.12	0.08	-0.1	-0.21	-0.1	0.08	-0.02	-0.41	0.55
YDL242W	-0.02	0.2	0.2	0.24	-0.27	0.14	0.31	-0.74	0.2	-0.18		-0.07	-0.14	0.15
YDL243C	-0.04	-0.18	-0.04	-0.18	0.11	0.13	0.12	0.15	0.05	-0.01	-0.01	-0.04	-0.05	0.01
YDL244W	-0.48		0.29	-0.2	-0.12	-0.6	-0.17	0.31	0.04	0.23	-0.02	0.12	0.15	0.45
YDL245C	-0.16	0.1	-0.05	-0.02	-0.12	-0.07	0.06	0.11	0.19		-0.22	0.07	0.15	-0.05
YDL246C	-0.21		0.27	-0.25	-0.34		0.15	0.13	-0.05	-0.08	-0.09	0.12	-0.08	0.44
YDL247W	-0.28	0.25	-0.1	0.03	-0.11	0.15	0.08	-0.03	-0.08	0.15	-0.18	-0.06	0.14	0.03
YDL248W	0.12	0.43	0.1	-0.08	-0.31	-0.07	-0.05	0.16	-0.21	-0.29	-0.15	-0.09	0.24	0.2
YDR001C	0.51	0.22	0.15	-0.01	-0.68	-0.36	-0.28	-0.05	0.03	-0.22	-0.41	0.3	0.5	0.31
YDR002W	-0.43	0.11	0.14	0.21	0.13	0.4	0.29	0.19	-0.15	-0.24	0.05	-0.39	-0.17	-0.12
YDR003W	0.63	0.09	0.31	-0.15	-0.65	-0.32	-0.18	0.04	-0.02	-0.22	-0.02	0.02	0.38	0.11
YDR004W	0.43	0.13	0.23	0.18	-0.24	0.03	0.15	-0.16	-0.11	-0.17	0.01	-0.24	-0.24	0.01
YDR005C	0.65	0.22	0.36	0.38	0.09	0.04	-0.12	-0.14	-0.49	-0.16	-0.16	-0.21	-0.34	-0.12
YDR006C	0.69	-0.1	-0.01	0.14	-0.15	0.13	-0.25	0.01	0.03	0.12	-0.08	-0.26	-0.33	0.06
YDR007W	-0.39	0.18	-0.01	-0.27	-0.14	0.02	-0.23	0.07	0.24	0.3	0.04	0.29	-0.06	-0.04
YDR008C	-0.06	-0.43	0.15	-0.31	-0.08	-0.13	-0.22	0.22	0.19	0.08	0.26	0.15	0.05	0.13
YDR009W	-0.2	0.06	0.09	-0.2	-0.28	-0.43	-0.26	0.07	0.17	0.21	0.11	0.36	0.27	0.06
YDR010C	-0.28	0.07	0.11	-0.22	-0.1	-0.06	-0.17	0.1	0.36	0.11	0.11	0.08	-0.05	-0.06
YDR011W	0.82	0.2	0.04	-0.09	-0.2	-0.2	-0.07	-0.35	0.15	0.01	-0.04	-0.01	-0.22	-0.06
YDR012W	-0.25	-0.77	-0.19	-0.25	0.42	0.33	0.09	0.43	0.22	0.35	-0.04	-0.05	-0.16	-0.13
YDR013W	0.19	-0.13	-0.17	0.03	0.56	0.39	0.47	0.15	-0.31	-0.36	0.11	-0.47	-0.38	-0.09
YDR014W	-0.12	-0.13	-0.02	-0.3	0.01	0.21	0.03	0.18	0.18	0.06	0.11	-0.12	-0.23	0.14
YDR015C	0.51	-0.09	-0.09	-0.19	0.14	0.08	0.12	-0.05	0.08	-0.29	-0.05	-0.19	-0.24	0.26
YDR016C	0.21	-0.41	-0.05	-0.52	-0.15	-0.3	-0.05	0.27	0.23	0.11	0.21	0.21	0.1	0.13
YDR017C	-0.13	-0.13	-0.18	0.03	0.1	-0.02	0.15	-0.06	0.23	-0.21	-0.18	0.29	0.14	-0.03
YDR018C	0.3	0.16	0.69	-0.23	-0.46	-0.5	0.03	-0.03	-0.23	-0.15	0.2	0.1	0.07	0.05
YDR019C	-0.11	0.31	-0.09	-0.15	-0.76	-0.76	-0.58	-0.34	0.03	0.38	0.21	0.48	0.72	0.68
YDR020C	-0.63	0.01	0.37	0.01	0.19	0.06	0.22	0.15	-0.15	0.15	0.16	-0.36	-0.32	0.12
YDR021W	-0.03	-0.05	0	0.31	0.11	0.41	0.11	0.06	-0.36	0.04	-0.01	-0.64	-0.03	0.09
YDR022C	0.27	0.24	0.36	0.05	-0.04	-0.02	0.05	-0.15	0.1	-0.19	-0.04	-0.28	-0.49	0.15
YDR023W	-0.11	-0.3	0.16	0.34	-0.03	0.2	0.29	-0.08	-0.2	0.24	0.05	-0.1	-0.33	-0.14
YDR024W	-0.17	-0.09	0.16	0.24	0.2	0.01	0.18	0.1	-0.01	0.02	-0.01	-0.32	-0.36	0.04
YDR025W	-0.94	-0.25	0.21	0.32	0.4	0.45	0.34	0.12	-0.09	0.27	0.02	-0.14	-0.45	-0.28
YDR026C	-0.22	0.06	-0.15	0.05	0.27	0.06	0.12	0.19		-0.05	-0.05	-0.29	0.06	-0.05
YDR027C	-0.28	-0.11	-0.14	-0.02	-0.3	0.05	0.12	-0.03	0.26	0.39	-0.19	0.24	0.1	-0.1
YDR028C	0.2	-0.12	-0.12	-0.01	-0.2	-0.09	-0.05		0.04	0.11	-0.08	0.03	0.31	-0.02
YDR029W	0.76	0	-0.02	0.03	-0.43	-0.09	0.16	-0.02	-0.23	-0.08	0.2	-0.05	-0.21	-0.03
YDR030C	0.38	-0.25	-0.05	0.23	-0.09	0.87	-0.05	-0.25	0.05	0.3	-0.48	-0.3	-0.01	-0.35
YDR031W	1.16	0.19	0.15	-0.21	-0.35	-0.41	-0.33	-0.35	-0.04	-0.48	0.21	0.02	0.29	0.13
YDR032C	-0.12	0.16	0.15	-0.19	-0.4	-0.8	-0.87	0.18	0.21	0.11	-0.36	0.37	0.85	0.72
YDR033W	-0.59	-0.22	0.19	-0.07	-0.27	-0.78	-0.52	-0.4	0.33	0.33	0.67	0.61	0.4	0.3
YDR034C	0.06	-0.11	-0.11	-0.13	-0.08	-0.03	-0.3	0.22	0.18	0.23	-0.13	0.06	0.15	0.01
YDR035W	0.23	0.03	-0.25	0	-0.13	-0.18	-0.16	-0.16	0.07	0	0.29	0.3	-0.06	0.04
YDR036C	-0.61	-0.37	-0.24	-0.55	-0.04	-0.08	-0.43	0.35	0.28	0.45	0.22	0.29	0.21	0.51
YDR037W	-1.62	-0.08	-0.17	0.33	0.41	0.41	0.29	0.03	0.18	0.1	0.07	0.19	-0.03	-0.11
YDR038C	-0.64	-0.17	-0.24	-0.29	-0.12	0.06	-0.07	0.33	0.32	0.62	-0.13	0	0.06	0.28
YDR039C	-0.12	0.24	-0.31	-0.04	-0.04	-0.01	0.09	-0.12	0.1	0.09	-0.08	-0.04	0.18	0.07
YDR040C	0.57	0.09	-0.12	-0.16	-0.07	-0.11	-0.09	0.06	0.11	0.2	-0.35	-0.12	-0.14	0.14
YDR041W	0.78	-0.32	-0.07	-0.38	-0.19	-0.12	-0.14	0.05	0	-0.14	0.3	0.15	0.11	-0.01
YDR042C	0.55	0.07	0.45	-0.08	0.19	0.35	0.6	-0.5	-0.12	-0.23	0.19	-0.45	-0.86	-0.15
YDR043C	0.57	-0.11	0.42	0.33	0.1	-0.02	-0.06	0.1	-0.32	-0.27	0.03	-0.41	-0.29	-0.06
YDR044W	-0.37	0.16	0.16	0.06	-0.17		0.25	-0.06	-0.16	0.35	0.03	-0.41		0.17
YDR045C	-0.24	0.03	0.31	0.43	0.17	0.4	0.3	0.08	-0.54	-0.22	0.08	-0.37	-0.3	-0.12
YDR046C	-0.86	-0.29	-0.27	-0.35	-0.32	0.11	0.11	0.63	0.29	0.57	-0.01	0.18	0.12	0.09
YDR047W	-0.53	-0.16	-0.01	0.09	-0.1	0.11	0.23	0.32	-1.31	0.22	-0.01	0.57	0.38	0.22
YDR048C	-0.13	0.07	0.68	-0.14	-0.05	0.27	0.3	-0.34	-0.05	-0.07	0.13	-0.25	-0.35	-0.08
YDR049W	-0.38	-0.18	-0.08	0.18	-0.14	0.25	0.11	0.3		-0.19	-0.06	0.22		-0.03
YDR050C	-0.21	-0.22	0.1	0.21	-0.43	-0.18	-0.5	0.14	0.02	0.09	-0.24	0.2	0.62	0.41
YDR051C	-0.01	-0.13	0.02	0.08	-0.01	-0.01	-0.18	0.13	-0.22	0.01	-0.09	0.02	0.16	0.24
YDR052C	-0.29	0.09	0.29	0.34	0.08	0.22	0.27	0.33	-0.06	-0.06	-0.29	-0.38	-0.43	-0.12
YDR053W	0.01	-0.23	-0.16	0.01	0.37	0.25	0.31	-0.06	-0.06	-0.01	-0.18	-0.01	-0.11	-0.13
YDR054C	0.85	-0.1	0.09	-0.51	-0.25	-0.07	-0.49	0.06	0.06	-0.1	0.05	0	0.38	0.05
YDR055W	0.6	-0.21	-0.61	-0.28	-0.58	-0.98	-1.02	-0.73	-0.17	-0.06	0.11	1.4	1.56	0.98
YDR056C	0.75	-0.13	-0.05	-0.18	-0.34	-0.28	-0.3	-0.18	-0.04	-0.21	0.52	0.17	0.11	0.16
YDR057W	0.53	0.18	-0.16	-0.06	-0.1	-0.16	-0.12	-0.16	-0.08	-0.18	-0.16	0.36	0.11	-0.01
YDR058C	0.45	-0.03	-0.08	0.19	-0.2	-0.07	-0.55	-0.03	0.13	-0.1	-0.03	-0.01	0.3	0.04
YDR059C	0.07	0.09	-0.08	-0.3	-0.43	-0.46	-0.26	-0.03	0	0.02	0.13	0.38	0.53	0.33
YDR060W	-1.03	-0.43	0.05	0.38	0.76	0.5	0.33	0.19	-0.11	0.56	-0.17	-0.38	-0.51	-0.15
YDR061W	0.05	-0.28	-0.26	-0.39	-0.16	-0.18	-0.04	0.24	0.13	0	-0.02	0.5	0.24	0.19
YDR062W	-0.43	-0.25	-0.24	-0.39	0.18	0.22	-0.15	0.29	0.22	0.2	-0.09	-0.01	0.24	0.22
YDR063W	1.22	0.29	-0.18	-0.26	-0.26	-0.26	-0.18	-0.11	-0.11	-0.26	0.13	0.34	-0.13	-0.2
YDR064W	-1.22	-0.31	-0.14	0.36	0.34	0.3	-0.02	0.32	0.18	0.36	-0.08	-0.11	0.05	-0.03
YDR065W	0.29	0.19	-0.04	-0.06	0.06	0.08	-0.08	-0.25	-0.1	-0.1	0.12	-0.04	0.12	-0.21
YDR066C	0.29	0.03	0.69	-0.06	0.25	0.06	0.22	0	-0.1	-0.13	0.06	-0.41	-0.54	-0.35
YDR067C	0.97	0.08	0.21	0.11	0.14	-0.17	0.01	-0.07	-0.38	-0.29	-0.13	-0.29	0.04	-0.23
YDR068W	0.56	0.12	-0.38	0.05	0.15	0.03	0.18	-0.13	-0.01	-0.06	0.08	-0.16	-0.22	-0.2
YDR069C	0.83	0.1	0.1	-0.04	-0.18	-0.22	-0.2	0.21	0.1	-0.24	-0.18	-0.06	-0.26	0.07
YDR070C	1.78	1.34	0.4	0.4	0.25	0.48	-0.03	-0.37	-0.29	-1.43	-0.37	-1.12	-0.55	-0.49
YDR071C	0.67	-0.02	0.25	0.11	0	0.13	0	0.03	-0.35	-0.42	0.09	-0.44	-0.07	0
YDR072C	0.23	-0.16	0.06	-0.28	0.01	0.16	0.24	0.12	-0.12	0.11	0.16	-0.19	-0.15	-0.19
YDR073W	0.12	-0.14	0.04	-0.3	0.14	0.12	0.25	0.2	-0.23	-0.06	0.01	-0.06	-0.08	-0.02
YDR074W	0.61	0.26	0.01	-0.33	-0.3	-0.19	0.04	0.22	-0.1	-0.38	-0.15	0.18	0.15	-0.01
YDR075W	-0.32	-0.09	-0.11	0.06	0.33	0.33	0.09	0.07	-0.07	0.06	0.09	-0.26	-0.05	-0.11
YDR076W	-0.2	0.45	0.49	0.18	0.33	0	0.36	-0.32	-0.3	-0.03	0.23	-0.65	-0.55	0
YDR077W	0.08	0.29	0.47	0.14	-0.33	-0.37	-0.14	0.1	-0.15	0.04	-0.69	0.13	0.24	0.17
YDR078C	0.44	-0.17	-0.08	0.1	0.42	0.12	0.15	-0.49		-0.23	0.05	0.01	-0.44	0.12
YDR079W	0.39	-0.3	0.06	-0.27	-0.15	0	-0.06	-0.06	0.01	-0.25	0.38	0.1	0.18	-0.02
YDR080W	0.28	0.07	0.02	-0.28	0.12	-0.05	-0.14	-0.1	0.21	0.02	-0.1	-0.2	-0.18	0.31
YDR081C	0.05	-0.01	-0.12	0.05	0.07	0.12	-0.1	-0.14	0	-0.1	0.02	0.15	-0.07	0.09
YDR082W	0.59	0.07	-0.19	0.22	0.44	0.1	0.05	-0.15	-0.32	-0.19	0.2	-0.15	-0.61	-0.07
YDR083W	-0.3	-0.32	0.11	0.25	0.87	0.53	0.1	-0.08	-0.27	-0.06	0.18	-0.32	-0.45	-0.25
YDR084C	0.41	-0.16	0.09	-0.21	0.06	-0.09	-0.14	-0.07	0.03	0.02	0.19	0.06	-0.28	0.09
YDR085C	0.62	0.02	0.06	-0.22	-0.08	-0.43	-0.15	-0.2	-0.05	-0.22	-0.18	0.31	0.27	0.23
YDR086C	-0.14	-0.33	-0.02	-0.25	-0.09	0.05	-0.27	0.4	0.2	0.05	0.41	0.2	0.03	-0.21
YDR087C	-0.42	-0.38	0.12	0.42	0.72	0.24	0.41	-0.02	-0.11	-0.11	0.26	-0.88	-0.14	-0.11
YDR088C	0.37	-0.05	0.24	-0.25	0	-0.17	-0.43	-0.02	0.12	0	0	0.07	0	0.1
YDR089W	-0.65	-0.19	0.08	0.2	0.35	0.29	0.34	0.13	0.04	-0.17	0.02	0.11	-0.33	-0.24
YDR090C	0	-0.09	-0.28	-0.33	0.15	0.2	0.34	0.21	-0.11	-0.01	0.33	-0.33	-0.06	0
YDR091C	-0.73	-0.22	-0.01	0.47	0.52	0.62	0.42	0.19	-0.35	0.12	0.27	-0.5	-0.58	-0.22
YDR092W	0.48	0.18	-0.21	0.32	0.14	-0.19	0.06	0.09	-0.07	-0.12	-0.07	-0.12	-0.29	-0.21
YDR093W	-0.23	0.41	-0.18	0.28	0.01	0.02	0.36	-0.06	-0.01	0.26	-0.41	0.71	-0.98	-0.18
YDR094W	-0.98	-0.25	-0.48	-0.57	-0.09	0.28	0.45	0.41	0.21	0.36	0.52	0.2	-0.19	0.13
YDR095C	-0.27	-0.29	-0.15	0.01	0.23	-0.05	0.28	0.15	0.13	0.18	0.13	-0.03	-0.31	-0.01
YDR096W	1.06	-0.05	0.31	-0.75	-0.78	-0.25	0	0.26	0.12	-0.03	0.11	0.35	-0.32	-0.03
YDR097C	-1.3	-0.84	-0.58	0.13	0.53	0.9	0.69	0.52	0.12	0.25	0.16	-0.26	-0.37	0.05
YDR098C	0.03	0.03	-0.13	-0.34	0.12	0.25	0.29	0.13	-0.1	-0.03	0.03	-0.06	-0.29	0.05
YDR099W	0.26	-0.04	-0.07	0.47	-0.05	-0.15	-0.18	0.13	-0.22	-0.23	-0.19	0.09	0.21	-0.04
YDR100W	0.36	0.05	-0.04	-0.36	0.13	0.06	0.23	-0.16	-0.11	0.14	0.07	-0.18	-0.16	-0.03
YDR101C	-0.87	-0.46	-0.23	0.8	0.8	0.66	0.31	0.16	-0.18	-0.02	0.06	-0.53	-0.25	-0.23
YDR102C	0.16	0.04	0.15	-0.13	0.24	0.3	-0.15	-0.42	-0.11	-0.21	0.15	-0.11	-0.13	0.23
YDR103W	0.45	0.07	-0.08	0.02	0.02	-0.02	-0.29	-0.24	-0.02	-0.06	0	0.22	-0.06	0
YDR104C	-0.15	0.16	0	-0.07	-0.08	-0.04	-0.44	-0.07	0	0.37	-0.05	0.13	-0.02	0.27
YDR105C	0.3	-0.18	-0.08	-0.31	-0.2	-0.29	-0.01	0.08	0.19	0.06	-0.12	0.35	0.21	0.01
YDR106W	0.32	0.06	0.35	-0.21	0.22	0.18	-0.53	-0.02	-0.1	-0.07	0.24	-0.07	-0.24	-0.13
YDR107C	-0.15	-0.12	-0.01	-0.25	-0.21	-0.39	-0.05	0.08	0.23	0.1	-0.05	0.3	0.43	0.08
YDR108W	0.52	0.11	0.14	-0.28	0.09	0.09	-0.48	-0.04	-0.07	-0.12	0.11	-0.02	-0.26	0.18
YDR109C	0.04	0.05	-0.01	0.24	0.35	-0.14	0.07	-0.17	-0.05	-0.17	-0.03	-0.14	0	-0.03
YDR110W	0.13	0.18	0	-0.12	0.25	0.1	-0.4	-0.17	0.04	0.13	0.23	-0.19	-0.15	-0.03
YDR111C	-0.65	-0.44	-0.13	-0.27	-0.11	-0.27	0.14	0.2	0.16	-0.05	0.09	0.42	0.45	0.46
YDR112W	-0.02	-0.13	0.13	-0.47	-0.2	0.02	-0.52	-0.02	0.15	0.05	0.32	0.25	0	0.44
YDR113C	-0.48	-0.74	-0.25	-0.43	0.29	0.4	0.68	0.64	0.32	-0.06	0.13	0.01	-0.21	-0.3
YDR114C	0.08	0.3	0.3	-0.9	-0.02	0	0.27	-0.17	0	0.15	0.11	-0.06	0.07	-0.11
YDR115W	0.05	-0.72	-0.43	0	-0.02	0.14	0.17	0.38	0.08	0.11	0.08	-0.05	0.05	0.15
YDR116C	-0.37	-0.46	-0.24	-0.66	-0.21	0.05	0.29	0.44	0.28	0.33	-0.14	0.29	0.14	0.25
YDR117C	0.3	-0.08	-0.39	-0.23	0.1	0.08	0.15	0.33	-0.09	-0.09	0.13	-0.13	-0.04	-0.04
YDR118W	0.16	0.13	0.41	-0.44	0.06	-0.02	0.51	-0.06	-0.18	-0.16	0.06	-0.26	-0.28	0.06
YDR119W	-0.48	-0.2		0.74	0.1	0.14	0.19	0.32	-0.09	0.05	-0.48	-0.31	0.11	-0.09
YDR120C	-0.71	-0.07	-0.06	-0.02	0.21	0.32	0.44	0.33	0.03	0.19	-0.11	-0.39	-0.12	-0.03
YDR121W	-0.22	-0.15	-0.05	0.38	0.23	0.16	0.16	0.26	-0.16	-0.08	-0.08	-0.37	-0.22	0.13
YDR122W	0.34	0.37	-0.32	-0.59	-0.21	-0.23	0.15	0.19	0.07	0.14	-0.25	0.2	-0.03	0.17
YDR123C	-0.34		-0.02	0.27	0.12	-0.04	0.09	0.22	-0.29	0.01	-0.09	-0.17	0.12	0.11
YDR124W	0.28	0.24	0.52		-0.24	-0.34	0.18	-0.22	0.01	-0.11	-0.22	-0.02	-0.18	0.11
YDR125C	0.49	-0.4		0.28	0.05	-0.3	0.07	0.15	0.02	-0.18	-0.03	-0.22	0.07	0
YDR126W	-0.4	-0.06	0.02	-0.3	-0.01	0.22	-0.4	0.08	0.14	0.26	0.18	0.13	-0.04	0.17
YDR127W	-0.69	-0.29	-0.19	-0.17	0.06	-0.01	0.06	-0.03	0.38	0.14	0.19	0.44	0.09	0.04
YDR128W	-0.01	0.99	-0.23	0.22	-0.28	-0.11	0.29	-0.14	-0.23	0.01	-0.08	-0.11	-0.48	0.15
YDR129C	1.13	0.25	-0.07	-0.05	-0.19	-0.44	-0.17	-0.05	0.02	-0.27	-0.34	0.18	-0.08	0.08
YDR130C	-0.18	-0.24	-0.22	-0.49	-0.24	0	-0.35	0.37	0.45	0.07	0.18	0.38	-0.07	0.37
YDR131C	0.39	-0.11		0.16	0.29	-0.02	0.13	0.06	-0.04	-0.15	0.06	-0.26	-0.4	-0.09
YDR132C	0.31	0	0.12	-0.32	-0.04	0.05	-0.54	0.01	-0.2	0.05	0.15	0.06	0.03	0.3
YDR133C	0.26	-0.72	-0.8	-0.91	-0.16	-0.22	0.45	0.42	0.28	0.15	0.39	0.46	0.26	0.15
YDR134C	-0.31	-0.65	-0.49	-0.98	-0.38	-0.03	-0.3	0.36	0.39	0.57	0.39	0.64	0.41	0.39
YDR135C	-0.25	0.01	0.3	0.45	0.05	-0.21	-0.06	-0.17	0.19	0.19	-0.1	-0.13	-0.32	0.07
YDR136C	0.02	-0.07	0.04	-0.17	0.02	-0.03	-0.26	-0.07	0.18	0.16	0	0.19	-0.15	0.14
YDR137W	0.5	-0.28	-0.28	0.07	0.27	-0.02	-0.05	0.08	-0.03	-0.11	-0.07	0.16	-0.41	0.16
YDR138W	-0.45	-0.15	0.38	-0.45	-0.16	-0.03	0.26	0.36	0.08	0.12	0.19	-0.06	-0.16	0.08
YDR139C	0.14	-0.28		0.15	0.28	-0.05	0.11	0.2	-0.28	-0.18	0.15	-0.05	-0.2	0
YDR140W	-0.07	0.15	1.01	-0.79	-0.05	0.01	0.37	-0.22	-0.22	-0.05	0.28	-0.17	-0.41	0.16
YDR141C	-0.12	-0.24		0.13	-0.14	-0.33	-0.14	0.13	0.03	0.07	-0.12	0.17	0.43	0.13
YDR142C	0.66	-0.33	-0.1	-0.17	-0.12	-0.37	0.1	0.11	0.17	0.14	0.07	-0.17	-0.19	0.17
YDR143C	-0.35	-0.05	0.05	-0.07	-0.18	0.04	0.2	0.04	0.1	0.15	-0.14	0.1	-0.14	0.25
YDR144C	-0.6	-0.37	-0.65	0.03	-0.08	0.47	0.51	0.45	0.11	0.42	-0.31	0.16	-0.08	-0.07
YDR145W	0.3	-0.11	0.02	-0.11	-0.07	0.07	0.26	0	-0.11	0.05	0.07	-0.12	-0.08	-0.19
YDR146C	-1.33	-0.93	0.83	-0.73	-0.78	-0.85	-0.07	0.51	0.64	0.6	0.58	0.62	0.61	0.29
YDR147W	-0.39	-0.08	-0.22	-0.18	-0.09	-0.16	0.02	0.23	0.2	0.46	0.16	0.16	-0.06	-0.04
YDR148C	0.39	0.27	-0.45	-0.11	-0.55	-0.12	-0.18	0.29	0.15	-0.01	-0.17	0.02	0.37	0.09
YDR149C	0.58	0.02	0.44	-0.09	-0.52	-0.18	0.06	-0.2	-0.12	0.17	0.29	0.06	-0.67	0.16
YDR150W	-0.47	-0.05	-0.88	-0.04	-0.17	-0.35	1.08	-0.18	0.29	0.51	-0.1	0.39	-0.27	0.23
YDR151C	0.9	-0.17	0.05	-0.04	0.31	-0.24	-0.04	-0.04	-0.03	-0.15	-0.13	-0.13	-0.1	-0.19
YDR152W	0.08	-0.29	0.02	-0.17	0.27	0.16	0.01	-0.02	0.09	0.11	-0.02	-0.06	-0.08	-0.1
YDR153C	0.23	-0.16	-0.02	0.18	0.24	-0.05	0.06	0.32	-0.02	-0.14	-0.24	0.08	-0.28	-0.2
YDR154C	-0.16	0	-0.11	0.05	-0.11	-0.2	0	0.22	0.21	0.09	-0.48	0.11	0.06	0.32
YDR155C	-0.12	0.42	0.26	0.06	-0.23	-0.69	-0.72	-0.33	0.36	0.26	-0.57	0.36	0.63	0.31
YDR156W	-0.25	-0.09	0	0.07	0.17	-0.06	0	0.31	0.19	0.08	-0.31	-0.01	-0.25	0.15
YDR157W	0.28	0.28	0.16	-0.21	-0.28	-0.07	-0.21	0.06	0.16	0.2	-0.36	-0.04	0.11	-0.09
YDR158W	-0.7	-0.85	-0.49	-0.23	-0.21	-0.04	-0.35	0.48	0.4	0.58	0.23	0.27	0.53	0.39
YDR159W	-0.02	0.01	0.01	-0.31	-0.2	-0.17	-0.15	-0.13	0.26	0.36	-0.1	0.29	0.22	-0.07
YDR160W	0.31	-0.33	-0.13	-0.07	-0.11	0.02	-0.09	0.24	0.24	0.39	-0.09	-0.31	-0.17	0.1
YDR161W	-0.89	-0.05	-0.12	-0.1	0.31	0.2	0.02	0.07	0.02	0.4	0.11	-0.07	0.13	-0.03
YDR162C	-0.33	0.28	0.23	0.15	-0.25	-0.22	0	0.2	-0.11	-0.02	-0.27	0.01	0.01	0.31
YDR163W	-0.02	0.03	-0.17	0.59	-0.27	-0.29	-0.05	-0.04	0.11	0.21	-0.15	0.04	-0.08	0.1
YDR164C	-0.45		0.26	-0.04	-0.11	0.01	-0.05	0.17	-0.07	0.05	-0.04	0.05	0.15	0.05
YDR165W	-0.75	-0.01	0.02	0.32	0.48	0.43	0.3	-0.04	-0.21	0.15	0.18	-0.37	-0.39	-0.09
YDR166C	0.33	-0.24	0.7	0.29	0.53	0.33	0.27	0.19	-0.21	-0.47	-0.18	-0.61	-0.86	-0.08
YDR167W	-0.21	-0.21	-0.09	0.05	-0.13	-0.16	-0.03	0.19	0.03	0.03	-0.13	0.23	0.36	0.06
YDR168W	1.07	-0.01	0.05	-0.13	-0.13	-0.26	-0.36	-0.17	-0.11	-0.22	-0.06	0.16	0.1	0.08
YDR169C	0.77	-0.05	0.02	0.05	-0.43	-0.29	-0.36	-0.11	0.05	0.12	-0.33	0.16	0.32	0.1
YDR170C	0.04	0.23	-0.37	0.27	-0.05		0.09	0.49	-0.15	0.16	-0.37	0.15	-0.68	0.2
YDR171W	2.2	0.26	0.12	0.3	-1.03	-1.21	-0.9	-0.29	0.08	-0.45	-0.68	0.44	1	0.18
YDR172W	-0.53	0.05	-0.41	0.04	0.07	0.49	0.01	0.32	-0.03	0.18	-0.25	-0.12	0.04	0.14
YDR173C	0.16	0.07	0.37	0.36	0	0.05	0.02	-0.13	0	-0.15	0.02	-0.05	-0.77	0.07
YDR174W	-0.44	-0.26	-0.39	-0.2	-0.3	-0.08	-0.05	0.54	0.48	0.45	-0.24	0.09	0.36	0.03
YDR175C	0.08	-0.29	-0.35	-0.29	-0.13	-0.22	-0.09	-0.19	0.3	0.38	-0.06	0.49	0.33	0.03
YDR176W	0.26	-0.49	-0.19	0.12	-0.13	0.09	0.15	0.05	0.3	0.19	-0.06	0.04	-0.34	0
YDR177W	-0.2	0.17	-0.14	-0.12	-0.12	-0.38	-0.1	-0.18	0.03	0.25	-0.02	0.44	0.33	0.05
YDR178W	-0.32	-0.36	0.12	-0.32	-0.36	-0.33	-0.19	0.36	0.33	0.17	-0.23	0.24	0.54	0.34
YDR179C	0.39	-0.19	0.07	-0.08	0.28	-0.06	0.15	-0.19	-0.01	0.05	-0.01	-0.19	-0.1	-0.1
YDR179W-A														
YDR180W	-0.63	0.19	-0.27	-0.13	-0.3	-0.02	-0.15	0.27	0.31	0.31	-0.21	0.26	0.22	0.17
YDR181C	0.3	-0.18	-0.11	-0.18	0.17	-0.27	-0.03	-0.18	0.12	0.12	0.08	-0.01	0.27	-0.09
YDR182W	-0.01	-0.35	-0.22	-0.54	-0.5	-0.14	-0.21	0.4	0.26	0.36	0.07	0.39	0.27	0.22
YDR183W	0.3	0.13	-0.61	-0.13	0.27	0.21	0.13	-0.07	0.09	-0.02	0.11	-0.24	0	-0.17
YDR184C	-0.64	-0.29	0.03	0.17	0.8	0.49	0.05	0.09	0.02	0.22	0.14	-0.48	-0.43	-0.18
YDR185C	-0.46	-0.22	-0.27	-0.08	-0.16	-0.14	0.08	0.17	0.31	0.17	0.08	0.25	0.17	0.1
